"label","Country","Serotype","ST","clonal_complex","Location"
"SRR2451948","Canada","III-2","17","cc17","other"
"SRR2451949","Canada","III-2","17","cc17","other"
"SRR2451951","Canada","III-2","17","cc17","other"
"SRR2451952","Canada","III-2","17","cc17","other"
"SRR2451953","Canada","III-2","NF",NA,"other"
"SRR2451955","Canada","III-2","148","cc17","other"
"SRR2451956","Canada","III-2","17","cc17","other"
"SRR5061048","USA","III-2","17","cc17","USA"
"SRR5061064","USA","III-2","17","cc17","USA"
"SRR5061106","USA","III-2","17","cc17","USA"
"SRR5061116","USA","IV","468","cc452","USA"
"SRR5061167","USA","III-2","17","cc17","USA"
"SRR5061191","USA","III-2","17","cc17","USA"
"SRR5061204","USA","III-2","17","cc17","USA"
"SRR5061245","USA","IV","459","cc459","USA"
"SRR5061255","USA","III-2","860","cc17","USA"
"SRR5061280","USA","III-2","17","cc17","USA"
"SRR5061355","USA","III-2","17","cc17","USA"
"SRR5061429","USA","III-1","19","cc19","USA"
"SRR5061442","USA","III-2","31","cc17","USA"
"SRR5061451","USA","III-2","17","cc17","USA"
"SRR5061468","USA","III-2","17","cc17","USA"
"SRR5061479","USA","III-2","17","cc17","USA"
"SRR5061528","USA","III-2","17","cc17","USA"
"SRR5061533","USA","III-1","19","cc19","USA"
"SRR5061537","USA","III-2","17","cc17","USA"
"SRR5061579","USA","III-2","860","cc17","USA"
"SRR5061626","USA","III-2","17","cc17","USA"
"SRR5061670","USA","III-2","17","cc17","USA"
"SRR5061676","USA","III-2","17","cc17","USA"
"SRR5061680","USA","II","846","cc22","USA"
"SRR5061682","USA","III-2?","17","cc17","USA"
"SRR5061696","USA","III-2","17","cc17","USA"
"SRR5061699","USA","Ia","23","cc23","USA"
"SRR5061701","USA","III-2","17","cc17","USA"
"SRR5062212","USA","III-1","529","cc327","USA"
"SRR5062271","USA","V","1","cc1","USA"
"SRR5062296","USA","III-2","17","cc17","USA"
"SRR5062309","USA","III-2","17","cc17","USA"
"SRR5062321","USA","III-2","17","cc17","USA"
"SRR5062372","USA","III-2","17","cc17","USA"
"SRR5062384","USA","III-2","830","cc17","USA"
"SRR5062390","USA","III-2","17","cc17","USA"
"SRR5062426","USA","III-1","823","cc19","USA"
