"Sample_id","ALP1","ALP23","ALPHA","HVGA","PI1","PI2A1","PI2A2","PI2B","RIB","SRR1","SRR2"
"80_S80_L001_R","neg","neg","neg","pos","neg","neg","neg","pos","pos","neg","pos"
"82_S82_L001_R","neg","neg","neg","pos","pos","neg","neg","pos","pos","neg","pos"
"83_S83_L001_R","neg","pos","neg","neg","pos","pos","neg","neg","neg","pos","neg"
"84_S84_L001_R","neg","neg","neg","neg","neg","neg","pos","neg","pos","neg","neg"
"85_S85_L001_R","neg","neg","neg","pos","pos","neg","neg","pos","pos","neg","pos"
"86_S86_L001_R","neg","pos","neg","neg","pos","neg","neg","neg","neg","pos","neg"
"87_S87_L001_R","neg","neg","neg","pos","pos","neg","neg","pos","pos","neg","pos"
"88_S88_L001_R","neg","neg","neg","neg","pos","neg","pos","neg","pos","pos","neg"
"89_S89_L001_R","pos","neg","neg","neg","neg","pos","neg","neg","neg","pos","neg"
"8_S8_L001_R","neg","neg","neg","pos","pos","neg","neg","pos","pos","neg","pos"
"90_S90_L001_R","neg","neg","neg","pos","pos","neg","neg","pos","pos","neg","pos"
"91_S91_L001_R","neg","neg","neg","pos","pos","neg","neg","pos","pos","neg","pos"
"92_S92_L001_R","pos","neg","neg","neg","neg","pos","neg","neg","neg","pos","neg"
"95_S95_L001_R","neg","neg","neg","neg","neg","neg","pos","neg","pos","neg","neg"
"97_S97_L001_R","pos","neg","neg","neg","neg","pos","neg","neg","neg","pos","neg"
"98_S98_L001_R","neg","neg","pos","neg","pos","pos","neg","neg","neg","pos","neg"
"99_S99_L001_R","neg","neg","neg","pos","pos","neg","neg","pos","pos","neg","pos"
"9_S9_L001_R","neg","neg","neg","pos","pos","neg","neg","pos","pos","neg","pos"
"93_S93_L001_R","pos","neg","neg","neg","neg","pos","neg","neg","neg","pos","neg"
