"Sample","ST","adhP","pheS","atr","glnA","sdhA","glcK","tkt","mismatches","uncertainty","depth","maxMAF"
"S76_trimmed","10","9",1,"4",1,3,"3",2,"0","-",122.737285714,0.0757575757576
"S77_trimmed","23","5",4,"6",3,2,"1",3,"0","-",153.791142857,0.0344827586207
"S78_trimmed","23","5",4,"6",3,2,"1",3,"0","-",174.430714286,0.0275862068966
"S79_trimmed","17","2",1,"1",2,1,"1",1,"0","-",155.639428571,0.029702970297
"S7_trimmed","23","5",4,"6",3,2,"1",3,"0","-",309.852857143,0.0217391304348
"S80_trimmed","17","2",1,"1",2,1,"1",1,"0","-",129.918857143,0.0365853658537
"S82_trimmed","17","2",1,"1",2,1,"1",1,"0","-",141.780857143,0.0330578512397
"S83_trimmed","1","1",1,"2",1,1,"2",2,"0","-",127.883285714,0.0348837209302
"S84_trimmed","28","1",1,"3",5,2,"2",2,"0","-",137.645714286,0.0298507462687
"S85_trimmed","860","157",1,"1",2,1,"1",1,"0","-",119.429857143,0.0454545454545
"S86_trimmed","88","5",10,"6",3,2,"1",3,"0","-",134.023285714,0.0373134328358
"S87_trimmed","17","2",1,"1",2,1,"1",1,"0","-",151.431428571,0.056338028169
"S88_trimmed","19","1",1,"3",2,2,"2",2,"0","-",146.560571429,0.0372340425532
"S89_trimmed","23","5",4,"6",3,2,"1",3,"0","-",191.289,0.0298507462687
"S8_trimmed","17*","2",1,"1*",2,1,"1",1,"atr_1/1snp","-",309.949857143,0.0264317180617
"S90_trimmed","31","2",1,"1",6,1,"1",1,"0","-",96.4717142857,0.0961538461538
"S91_trimmed","31","2",1,"1",6,1,"1",1,"0","-",197.124142857,0.0457516339869
"S92_trimmed","23","5",4,"6",3,2,"1",3,"0","-",191.411857143,0.0591715976331
"S93_trimmed","23","5",4,"6",3,2,"1",3,"0","-",180.485857143,0.0394736842105
"S94_trimmed","23","5",4,"6",3,2,"1",3,"0","-",161.935571429,0.0289855072464
"S95_trimmed","28","1",1,"3",5,2,"2",2,"0","-",183.633285714,0.0290697674419
"S96_trimmed","28","1",1,"3",5,2,"2",2,"0","-",168.673,0.0472440944882
"S97_trimmed","23","5",4,"6",3,2,"1",3,"0","-",190.651142857,0.0378787878788
"S98_trimmed","8","4",1,"4",1,3,"3",2,"0","-",212.514571429,0.0380952380952
"S99_trimmed","17","2",1,"1",2,1,"1",1,"0","-",174.651142857,0.043956043956
"S9_trimmed","17","2",1,"1",2,1,"1",1,"0","-",303.276285714,0.045045045045
