"Sample_id","Serotype","AAC6APH2","ANT6IA3KF864551","ANT6IA","APH3III","CATPC194","CATQ","ERMA","ERMB","ERMT","LNUB","LNUC","LSAC","LSAE","MEFA","MSRD","TETB","TETL","TETM","TETO32O","TETOW32OWO","TETOW32O","TETOWO","TETOW","TETO","TETSM","TETS","TETW32O","TETW4FN396364"
"39_S39_L001_R","Ia","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","pos","pos","neg","neg","pos","neg","neg","neg","neg","neg","neg","pos","neg","neg","neg"
"3_S3_L001_R","V","neg","neg","neg","neg","neg","neg","pos","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","pos","neg","neg","neg","neg","neg","neg","pos","neg","neg","neg"
"40_S40_L001_R","Ia","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","pos","pos","neg","neg","pos","neg","neg","neg","neg","neg","neg","pos","neg","neg","neg"
"41_S41_L001_R","III","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","pos","neg","neg","neg","neg","neg","neg","pos","neg","neg","neg"
"43_S43_L001_R","III","neg","neg","neg","neg","neg","neg","neg","neg","pos","neg","neg","neg","neg","neg","neg","neg","neg","pos","neg","neg","neg","neg","neg","neg","pos","neg","neg","neg"
"44_S44_L001_R","IV","neg","neg","neg","neg","neg","neg","pos","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg"
"45_S45_L001_R","IV","neg","neg","neg","neg","neg","neg","pos","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg"
"46_S46_L001_R","Ia","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","pos","neg","neg","neg","neg","neg","neg","pos","neg","neg","neg"
"47_S47_L001_R","III","neg","neg","neg","neg","neg","neg","pos","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","pos","neg","neg","neg","neg","neg","neg","pos","neg","neg","neg"
"48_S48_L001_R","III","neg","pos","pos","pos","neg","neg","neg","pos","neg","neg","neg","neg","neg","neg","neg","neg","neg","pos","pos","neg","neg","neg","neg","pos","pos","neg","neg","neg"
"4_S4_L001_R","Ib","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","pos","neg","neg","neg","neg","neg","neg","pos","neg","neg","neg"
"50_S50_L001_R","III","neg","neg","neg","neg","neg","neg","neg","pos","neg","neg","neg","neg","neg","neg","neg","neg","neg","pos","pos","neg","neg","neg","neg","pos","pos","neg","neg","neg"
"51_S51_L001_R","Ia","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","pos","neg","neg","neg","neg","neg","neg","pos","neg","neg","neg"
"52_S52_L001_R","III","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","pos","neg","neg","neg","neg","neg","neg","pos","neg","neg","neg"
"53_S53_L001_R","III","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","pos","neg","neg","neg","neg","neg","neg","pos","neg","neg","neg"
"54_S54_L001_R","Ia","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","pos","neg","neg","neg","neg","neg","neg","pos","neg","neg","neg"
"55_S55_L001_R","Ib","neg","neg","neg","neg","neg","neg","pos","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","pos","neg","neg","neg","neg","neg","neg","pos","neg","neg","neg"
"56_S56_L001_R","III","neg","neg","neg","neg","neg","neg","neg","neg","pos","neg","neg","neg","neg","neg","neg","neg","neg","pos","neg","neg","neg","neg","neg","neg","pos","neg","neg","neg"
"57_S57_L001_R","III","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","pos","neg","neg","neg","neg","neg","neg","pos","neg","neg","neg"
"58_S58_L001_R","III","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","pos","neg","neg","neg","neg","neg","neg","pos","neg","neg","neg"
"59_S59_L001_R","III","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","pos","neg","neg","neg","neg","neg","neg","pos","neg","neg","neg"
"5_S5_L001_R","III","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","pos","neg","neg","neg","neg","neg","neg","pos","neg","neg","neg"
"61_S61_L001_R","III","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","pos","neg","neg","neg","neg","neg","neg","pos","neg","neg","neg"
"62_S62_L001_R","III","neg","pos","pos","pos","neg","neg","neg","pos","neg","neg","neg","neg","neg","neg","neg","neg","neg","pos","pos","neg","neg","neg","neg","pos","pos","neg","neg","neg"
"63_S63_L001_R","III","neg","pos","pos","pos","neg","neg","neg","pos","neg","neg","neg","neg","neg","neg","neg","neg","neg","pos","pos","neg","neg","neg","neg","pos","pos","neg","neg","neg"
"64_S64_L001_R","Ib","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","pos","neg","neg","neg","neg","neg","neg","pos","neg","neg","neg"
"65_S65_L001_R","IV","neg","neg","neg","neg","neg","neg","pos","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","pos","neg","neg","neg","neg","neg","neg","pos","neg","neg","neg"
